,,,,
대학 감사 지적 사례 검색 서비스,,,,
,,,,
검색구분,"검색구분(학교명, 제목, 지적내용)",,,
,,,,
검색기간,,,,
,,,,
,,,,
연도,학교명,구분,제    목,지적내용
2017,경북대학교,종합감사,연구개발능률성과급 산정 및 지급 부적정,"연구개발능률성과급을 교수 개인별 간접비 수주실적에 따라 산정(연구자별 간접비 징수금액×성과급 가중치)하여 교수 연인원 1,953명에게 개인별로 연 48천원에서 30,501천원까지 지급"
2017,경북대학교,종합감사,계약학과 논문세미나 강사료 등 지급 부적정,"◦ 석·박사 학생들의 교내 합숙강의를 실시하면서 교육과정에 포함되지 않는 ‘논문연구 세미나 수업’을 편성하여 교원 연인원 54명에게 논문세미나 강사료 명목으로 학기별 교수 1인당 700천원씩 합계 37,800천원 지급
◦ 교수 ◌◌◌은 논문지도 제한인원(5명)을 초과하여 논문 지도하고, 논문지도비 합계 1,800천원을 더 지급받음"
2017,경북대학교,종합감사,개인(공동)명의 특허 등 출원·등록 부적정,교수 9명은 자신의 직무발명을 산학협력단에 신고하지 아니하고 개인 또는 공동명의로 특허 등 출원·등록
2017,경북대학교,종합감사,교내 연구비 수령 부당,"◦ 교수 ◌◌◌은 지도학생 석사학위 논문을 요약하여 학술지에 게재하고 동 논문을 교내 학술연구과제 연구결과물로 제출하여 연구비 합계 9,000천원 수령
◦ 교원 14명이 “2012~2014학년도 KNU학술연구보조비지원사업” 연구비로 지원받은 연구실적을 교수우수학술연구업적 장려금 실적으로 제출하여 합계 6,481,370원 수령"
2017,경북대학교,종합감사,교내연구결과물(논문) 미제출 및 지연제출,"◦ 교원 8명이 연구과제(연구비 합계 83,000천원)를 수행하면서 제출기한으로부터 최단 1개월부터 최장 1년 7개월이 경과하도록 논문 미제출
◦ 교원 55명이 연구과제를 수행하면서 제출기한으로부터 최단 35일에서 최장 1,006일 경과하여 논문 제출"
2017,경북대학교,종합감사,논문게재료 중복 수령,부교수 ◌◌◌은 2016. 3. 8. 논문게재료 240천원을 수령하고도 2016. 4. 20. 동일 논문에 대한 논문게재료 240천원 중복 수령
2017,경북대학교,종합감사,시설공사비 중복 계상,"4건의 공사를 추진하면서 천정마감 노무비 합계 11,157천원이 중복 계상되었는데 시정조치를 하지 않음"
2017,경북대학교,종합감사,시설공사 법정경비 정산 부적정,"◦ 7건의 공사에서 계약상대자가 다른 목적으로 사용한 환경보전비 합계 1,130천원을 감액 정산하지 않음
◦ 8건의 공사에서 계약상대자가 다른 목적으로 사용한 안전관리비 합계 16,413천원을 감액 정산하지 않음"
2017,경북대학교,종합감사,시설공사 검사 부적정,옥상방수공사를 추진하면서 벽체(254㎡)의 방수  두께를 당초설계와 다르게 시공(2㎜⟶1㎜)하였는데도 시정조치(재시공)하지 않고 준공처리
2017,경북대학교,종합감사,시설공사 분할계약 부적정,총 3건의 동일 구조물공사 및 단일공사를 통합 발주하지 않고 분할하여 수의 계약
2017,경북대학교,종합감사,가설건축물 건축 및 사용 부적정,1999년(추정)부터 2017. 6. 감사일 현재까지 가설건축물 19개동을 관할 허가권자와 협의 없이 건축하여 사용승인 없이 사용
2017,한국복지대학교,종합감사,수입금 국고(대학회계) 지연 납입 등,"◦ 수입금 60건 21,870천원을 세입세출외현금계좌에 보관하다가 16~280일 경과 후 국고 또는 대학회계로 납입
◦ 수입금 4건 7,200천원을 884~977일 동안 세입세출외 현금계좌에 보관"
2017,한국복지대학교,종합감사,물품관리 부적정,"물품담당자가 테블릿컴퓨터 1대를 임의 대여하고, 대여받은 직원은 이를 사적 사용 중 파손, 물품담당자가 테블릿컴퓨터 1대를 분실하고도 물품관리관에게 未보고"
2017,한국복지대학교,종합감사,전문가 활용비 등 집행 부적정,"◦ 전문가활용비를 참여연구원에게는 지급할 수 없음에도 6명에게 회의수당 합계 3,133,600원 지급
◦ 과업지시서에 없는 원고료를 임의신설하여 참여연구원 3명에게 원고료 3,363,500원 지급"
2017,한국복지대학교,종합감사,겸직 未허가 교육전문직 연구과제 참여,교육전문직 3명이 총장의 사전 겸직허가 없이 10개 연구과제의 책임연구원 또는 공동연구원으로 참여
2017,한국복지대학교,종합감사,가족수당 및 맞춤형복지포인트 부당 수령,"교직원 4명이 부양가족 변동신고를 하지 않아 가족수당 3,430천원, 맞춤형복지포인트 550점(550천원) 합계 3,980천원 수령"
2017,한국복지대학교,종합감사,지식재산권 관련 비용 집행 부적정,"4차례에 걸쳐 지식재산권 등록 관련비용 합계 11,004,500원을 기성회계 또는 대학회계에서 집행"
2017,한국복지대학교,종합감사,학술활동비 지원 부적정,"한국연구재단 등재지 및 등재후보지 논문 게제 시 지원 가능한 학술활동비를 교내학술지 게재 논문에 대해서도 지원(15명, 합계 5,750천원)"
2017,한국복지대학교,종합감사,기부금 접수 부적정,"공익법인을 설립하지 않고 기탁자 79명으로부터 기부금 접수(총 297건, 합계 294,876,272원)"
2017,한국복지대학교,종합감사,전문공사 계약체결 등 업무처리 부적정,전문공사 2건에 대해 해당건설업 미등록 업체와 계약 체결ㆍ시공
2017,대구가톨릭대학교,종합감사,연구비 집행 부적정,"지방특성화사업 기획단에 참여한 교직원 18명에게 지방특성화사업 선정에 따른 격려 명목의 연구비 합계 29,000천원 (1인당 500천원~2,000천원) 지급"
2017,대구가톨릭대학교,종합감사,가족수당 지급 부적정,"◦ 교직원 42명이 부양가족 변경신고를 하지 않고 가족수당 합계 34,520천원 부적정 수령
◦ 주민등록상 주소를 달리하여 부양가족수당을 지급받을 수 없는 교원 1명에게가족수당 합계 1,560천원 지급"
2017,대구가톨릭대학교,종합감사,적립금 투자 기준 미비,"적립금 투자관리 내부기준을 마련하지 않고 총 38회 합계 30,086,894천원을 원금비보장형 상품 등에 투자"
2017,대구가톨릭대학교,종합감사,국유재산 무단 사용 및 변상금 납부,"국유재산을 대부계약 등 사용허가 없이 무단으로 사용하여 국가(OOOOOO공사)로부터 변상금 14,207,250원을 부과 받아 변상원리금 합계 14,789,710원 납부"
2017,대구가톨릭대학교,종합감사,산학협력단 운영비 교비회계 집행,"산학협력단이 OO 중구청과 ‘OO광역시 OO 어린이급식관리지원센터 위탁 운영관리 협약’을 체결하여 운영하고 있는 동 지원센터의 사무실 임차보증금 25,000 천원을 교비회계에서 집행"
